pH,Conductivity,Chloride,Turbidity,Nitrates,Chlorophyll,E_coli_Concentration
8.41,54,55,5.97,0.3,38,8
8.13,49.4,44.8,5,2.21,3.06,64
8.79,62.15,65.88,28.25,0.64,59.97,5
7.17,65.64,75.4,9.78,1.49,13.77,67
8.87,65.47,86.4,6.01,2.1,5.73,7
7.94,45.65,56,30.375,0.9,5,40
8.76,60.88,86.3,12.25,3.29,28.98,825
7.96,64.85,83.5,24.53,4.14,26.17,4.4
8.35,59.8,53.2,9,1.213,7.037,3
8.33,60.64,80,5.97,0.3,59,7
8.27,67.6,92.94,5.98,0.84,19.78,51.6
8.25,71.72,87.46,15.95,1.51,42.37,4.75
8,51.33,38.75,7.35,0.82,1.72,0
8.28,71.58,97,22.73,0.3,21,47
8.632499695,62.25,84.92,68.7,0.5,48.76,30
8.24,73.62,85.66,25.48,0.5,96.88,4
7.25,24.51,13,197,0.66,5.18,40
7.94,62.07,66,16.47,0.2,55,4
8.05,70.46,88.37,9.33,0.52,28.4,1
8.42,73.86,86.17,8.43,0.52,22.87,15
8.64,62.72,85,9.93,3.02,9.84,9
7.88,67.72,82.1,8.5,1.3,9.26,53
7.99,65.72,49.02,5.97,0.67,5.61,6.25
8.47,65.62,90.9,6.32,0.44,42.48,12
8.45,61.5,82.1,21,3.659,12.23,2
7.45,33.9,30,17.525,0.3,23,3
8.22,62.9,59,10,0.669,7.037,17
8.47,71.15,91.46,28.13,NR,22.65,11.25
8.06,47.35,66.1,229,0.62,15.92,356
7.57,35.5,33.84,49.74,2.03,7.3,7
7.86,73.55,96.43,13.13,0.9,5.42,7
8.95,73.38,82,29.97,0.2,185,5
8.01,71.12,96.7,14.87,3.5,14.36,21
7.94,62.07,66,5.97,0.2,20,4
8.59,65.6,74.3,11,4.82,0.86,129
7.35,31.35,28,100.1,0.9,9.1,7
8.430000305,57.8,65.82,26.73,0.5,61.33,7.5
8.27,65.2,86.4,9.5,2.88,52.1,1
7.34,39.98,34,17.525,0.6,1.8,5
8.75,66.56,76.8,5.74,2,83.5,3
8.57,78.28,84.57,24.55,0.5,54.92,10
8.61,63.96,95.2,14.64,1.9,39.7,6
8.11,57.16,61,5.97,1.4,20,8
8.34,57,55.6,5,6.287,6.248,23
8.11,69.5,92.4,14.34,3.67,7.21,3
8.02,63.2,44.96,3.65,0.44,12.07,1
8.31,58.8,79.8,12,3.826,12.23,105
7.02,26.51,19,234.8,0.4,36,6
8.51,66.6,67.6,15,4.055,7.037,111
8.1,161.5,64.99,4.74,1.46,13.55,1
8.13,61.2,64,17.73,0.3,73,5
8.41,54,55,5.97,0.3,23,8
8.41,73.37,87.15,12.63,NR,21.35,13
8.47,70.55,84.23,28.84,0.64,42.37,13.8
8.77,72.1,91,26.14,0.5,183,9.9
8.28,68.3,91.8,3.11,3.35,39.7,10
8.27,65.88,93.1,3.7,1.03,32.5,425
8.05,68.2,68.81,9.65,0.51,19.03,41.8
8.4,66.38,75.7,3.66,1.67,39.54,2
8.19,73.3,83.52,9.52,1.33,4.58,10
8.71,66.57,82.2,6.21,7.44,63.63,3
8.16,71.5,95.05,12.78,0.58,19.09,2.2
8.25,68.96,78,25.83,0.2,90,11
8.33,60.64,80,27.84,0.3,156,7
8.44,70.78,69.77,29,0.5,60.83,7.2
7.64,27.94,28.82,204.7,0.47,7.63,150
8.43,66.18,82,29.59,0.3,159,10
7.09,49.88,65.88,12.48,0.8,30,5
8.13,61.2,64,5.97,0.3,23,5
7.98,53.4,50,8.31,0.6,39,3
8.31,60.62,42.17,3.67,0.75,12.07,0
8.13,66.37,94.8,5.9,0.44,29.51,19
8.07,53.7,52.1,5,1,1.914,31
8.32,77.32,85,19.14,0.5,35.49,6.25
7.64,64.88,78.5,13.29,1.38,15.99,10
8.16,56.2,50.5,3,1.168,2.143,15
8.59,63.46,81.1,6.4,2.84,52.41,1
8.36,62.9,78,32.58,0.2,108,6
8.11,57.16,61,15.93,1.4,38,8
7.93,63.38,76,7.56,2.16,42.1,6
