pH,Ammonium,Chloride,Nitrites,Iron,Manganese,Phosphate,Sulphate,E_coli_Concentration
8.06,2.06,66.1,0.25,1452.0,137.26,0.07,51.66,356.0
8.13,0.276,44.8,0.02,134.0,10.0,0.3,80.0,64.0
7.17,0.05,75.4,2.91,360.0,240.0,0.05,74.0,67.0
7.64,1.85,28.82,0.33,2940.0,148.01,0.09,27.26,150.0
7.96,0.33,83.5,34.81,190.0,80.0,0.03,76.0,4.4
8.47,0.07,90.9,1.34,87.2,51.0,0.05,90.0,12.0
8.76,0.23,86.3,0.06,30.0,30.0,0.05,74.21,825.0
8.632499695,0.041999999,84.92,0.063000001,305.0,129.0,0.275250018,83.0739975,30.0
8.35,0.207,53.2,1.66,43.0,18.0,0.027,77.4,3.0
8.87,0.11,86.4,0.02,40.0,30.0,0.11,70.37,7.0
8.32,0.09,85.0,0.09,53.22,10.0,0.2,87.7,6.25
7.57,0.76,33.84,2.88,820.58,35.07,0.05,72.03,7.0
7.94,0.18,56.0,0.03,41.0,5.7,51.0,51.0,40.0
8.1,0.16,64.99,0.26,91.16,10.0,0.02,81.71,1.0
7.09,0.024,48.0,0.04,102.0,2.4,0.03,59.0,5.0
8.25,0.07,87.46,0.08,245.96,97.25,0.2,97.88,4.75
8.33,0.2,80.0,0.02,74.0,81.0,0.03,78.0,7.0
7.94,0.098,66.0,0.043,15.0,2.4,0.2,72.0,4.0
8.79,0.05,65.88,0.06,377.01,65.0,0.2,73.04,5.0
8.05,0.07,68.81,0.06,19.6,64.2,0.13,63.71,41.8
8.45,0.495,82.1,0.01,110.0,10.0,0.018,67.1,2.0
8.25,0.23,78.0,0.024,134.0,29.0,0.03,81.0,11.0
8.22,0.265,59.0,0.09,50.0,13.0,0.25,77.0,17.0
8.42,0.08,86.17,0.09,82.88,27.77,0.39,94.86,15.0
8.0,0.11,38.75,0.25,216.27,35.8,0.03,98.87,0.0
7.45,0.057,30.0,0.015,17.0,22.0,0.03,32.0,3.0
8.16,0.09,95.05,0.06,20.0,43.25,0.2,89.35,2.2
8.44,0.04,69.77,0.06,111.76,123.6,0.2,65.39,7.2
8.01,0.5,96.7,0.08,220.0,30.0,0.15,89.75,21.0
8.27,0.05,92.94,0.06,14.75,61.0,0.16,91.19,51.6
8.13,0.15,64.0,0.038,185.0,48.0,0.2,68.0,5.0
8.28,0.12,97.0,0.018,178.0,23.0,0.03,86.0,47.0
8.59,0.271,74.3,0.01,38.0,10.0,0.3,62.5,129.0
8.95,0.035,82.0,0.016,7.0,76.0,0.03,79.0,5.0
8.430000305,0.032499999,65.82,0.063000001,186.75,119.75,0.291500002,58.4620018,7.5
8.27,0.21,86.4,1.68,110.0,20.0,0.1,74.0,1.0
7.34,0.057,34.0,0.16,6.5,6.6,0.03,47.0,5.0
8.75,0.06,76.8,7.02,32.72,10.0,0.04,84.0,3.0
8.47,0.09,91.46,0.08,289.45,11.13,0.2,96.33,11.25
8.61,0.33,95.2,0.02,80.0,40.0,0.03,74.75,6.0
7.98,0.043,50.0,0.094,124.0,14.0,0.2,53.0,3.0
8.34,0.19,55.6,1.09,80.0,25.0,0.1,81.1,23.0
8.11,0.37,92.4,0.05,240.0,30.0,0.01,49.12,3.0
7.99,0.14,49.02,0.28,33.05,30.25,0.02,91.38,6.25
8.31,0.178,79.8,0.01,110.0,50.0,0.3,65.5,105.0
7.02,0.2,19.0,0.18,92.0,6.1,0.03,23.0,6.0
8.51,0.11,67.6,0.04,12.0,14.0,0.1,76.4,111.0
8.31,0.3,42.17,1.15,42.51,22.72,0.01,92.0,0.0
8.13,0.15,64.0,0.038,185.0,48.0,0.03,68.0,5.0
7.35,0.015,28.0,0.012,27.0,8.1,0.08,38.0,7.0
8.32,0.09,85.0,0.09,53.22,10.0,0.2,87.7,6.25
8.19,0.06,83.52,0.09,137.6,18.75,0.2,94.17,10.0
8.77,0.064,91.0,0.017,4.4,6.4,0.03,94.0,9.9
8.28,0.35,91.8,0.07,40.0,20.0,0.01,70.55,10.0
8.27,0.05,93.1,1.1,119.75,62.5,0.05,74.0,425.0
8.05,0.21,88.37,0.16,37.5,247.67,0.29,99.48,1.0
8.4,0.03,75.7,1.18,89.95,17.97,0.05,68.0,2.0
8.41,0.25,87.15,0.07,16.47,35.42,0.32,81.51,13.0
8.71,0.02,82.2,2.54,80.0,20.0,0.05,86.0,3.0
7.86,0.1,96.43,0.07,84.07,86.73,0.22,92.32,7.0
8.11,0.12,61.0,0.08,303.0,50.0,0.03,70.0,8.0
7.09,0.0024,65.88,0.04,377.01,44.0,0.2,73.04,5.0
8.64,0.24,85.0,0.02,50.0,20.0,0.08,76.5,9.0
7.25,1.85,13.0,0.28,2332.0,104.44,0.06,26.55,40.0
8.43,0.11,82.0,0.012,201.0,22.0,0.05,78.0,10.0
8.41,0.078,55.0,0.06,148.0,100.0,0.2,53.0,8.0
8.33,0.2,80.0,0.02,74.0,81.0,0.2,78.0,7.0
7.98,0.043,50.0,0.094,124.0,44.0,0.03,53.0,3.0
8.02,0.24,44.96,0.47,77.25,56.88,0.01,115.27,1.0
7.88,0.32,82.1,0.25,103.01,32.5,0.04,58.54,53.0
8.07,0.244,52.1,0.07,210.0,18.0,0.6,78.0,31.0
8.24,0.04,85.66,0.06,141.35,10.0,0.2,20.0,4.0
7.64,0.08,78.5,3.07,150.0,30.0,0.05,78.0,10.0
8.16,0.234,50.5,0.11,98.0,23.0,0.01,90.0,15.0
8.59,0.02,81.1,3.56,40.0,30.0,0.03,76.0,1.0
8.36,0.19,78.0,0.01,179.0,37.0,0.03,83.0,6.0
7.94,0.098,66.0,0.043,15.0,2.4,0.03,72.0,4.0
7.93,0.06,76.0,2.06,30.0,30.0,0.06,78.0,6.0
8.11,0.12,61.0,0.08,303.0,50.0,0.2,70.0,8.0
8.41,0.078,55.0,0.06,148.0,100.0,0.03,53.0,8.0
